index,line_start,line_end
SUB2,00:01:02.437,00:01:04.690
SUB3,00:01:06.024,00:01:08.443
SUB4,00:01:14.992,00:01:17.494
SUB5,00:01:17.703,00:01:20.831
SUB7,00:01:21.039,00:01:22.499
SUB8,00:01:22.749,00:01:24.418
SUB9,00:01:24.877,00:01:26.044
SUB10,00:01:26.295,00:01:28.338
SUB11,00:01:29.548,00:01:31.008
SUB12,00:01:31.466,00:01:33.135
SUB13,00:01:33.635,00:01:35.679
SUB14,00:01:35.888,00:01:38.348
SUB15,00:01:38.557,00:01:43.478
SUB18,00:02:00.495,00:02:02.206
SUB19,00:02:02.372,00:02:03.332
SUB20,00:02:05.792,00:02:08.754
SUB21,00:02:09.338,00:02:11.798
SUB22,00:02:11.924,00:02:14.301
SUB23,00:02:14.551,00:02:17.137
SUB24,00:02:17.346,00:02:19.264
SUB24,00:02:17.346,00:02:19.264
SUB25,00:02:19.556,00:02:22.100
SUB25,00:02:19.556,00:02:22.100
SUB26,00:02:22.309,00:02:25.395
SUB26,00:02:22.309,00:02:25.395
SUB27,00:02:25.604,00:02:27.814
SUB27,00:02:25.604,00:02:27.814
SUB28,00:02:28.065,00:02:30.776
SUB28,00:02:28.065,00:02:30.776
SUB29,00:02:30.984,00:02:32.736
SUB30,00:02:32.986,00:02:35.656
SUB30,00:02:32.986,00:02:35.656
SUB31,00:02:35.864,00:02:37.241
SUB32,00:02:38.116,00:02:40.869
SUB32,00:02:38.116,00:02:40.869
SUB32,00:02:38.116,00:02:40.869
SUB33,00:02:49.670,00:02:53.423
SUB33,00:02:49.670,00:02:53.423
SUB34,00:02:53.632,00:02:56.176
SUB34,00:02:53.632,00:02:56.176
SUB35,00:02:56.552,00:03:01.014
SUB36,00:03:01.223,00:03:04.309
SUB434,00:39:09.099,00:39:10.517
SUB37,00:03:04.518,00:03:06.436
SUB38,00:03:06.645,00:03:08.397
SUB38,00:03:06.645,00:03:08.397
SUB39,00:03:08.605,00:03:11.608
SUB40,00:03:11.817,00:03:15.195
SUB41,00:03:15.404,00:03:23.453
SUB,,
SUB,,
SUB44,00:03:36.425,00:03:38.468
SUB45,00:03:39.803,00:03:42.306
SUB46,00:03:50.230,00:03:54.610
SUB47,00:03:55.819,00:04:00.199
SUB48,00:04:11.376,00:04:17.216
SUB50,00:04:17.758,00:04:24.640
SUB52,00:04:25.474,00:04:29.019
SUB53,00:04:32.064,00:04:38.153
SUB56,00:04:47.162,00:04:49.081
SUB57,00:04:49.164,00:04:55.838
SUB59,00:04:56.296,00:04:57.381
SUB60,00:05:07.850,00:05:11.353
SUB,00:05:11.645,00:05:17.192
SUB64,00:05:17.484,00:05:20.946
SUB64,00:05:17.484,00:05:20.946
SUB65,00:05:21.071,00:05:24.908
SUB66,00:05:23.073,00:05:24.908
SUB67,00:05:29.037,00:05:31.165
SUB68,00:05:31.373,00:05:34.251
SUB69,00:05:34.501,00:05:39.673
SUB71,00:05:39.882,00:05:45.888
SUB73,00:05:46.096,00:05:50.142
SUB74,00:05:50.350,00:05:54.646
SUB75,00:05:55.480,00:05:57.900
SUB76,00:05:58.650,00:06:02.404
SUB78,00:06:02.988,00:06:06.408
SUB79,00:06:06.617,00:06:18.003
SUB82,00:06:15.334,00:06:21.798
