Character,Listener,Interaction Count
Fridolin,daughter,2
Fridolin,Albertina,20
Albertina,Fridolin,12
Fridolin,Marianne,10
Marianne,Fridolin,7
Fridolin,unknown,20
Mizzi,Fridolin,14
Fridolin,Mizzi,5
Mizzi,unknown,1
Fridolin,Nachtigall,39
Nachtigall,Fridolin,44
Gibiser,Fridolin,11
Fridolin,Gibiser,8
Gibiser,Gentlemen,4
Gentlemen,Gibiser,3
Pierrette,Gibiser,2
Gibiser,Pierrette,3
Fridolin,Fridolin,10
TWOServants,Fridolin,1
Fridolin,TWOServants,1
woman,Fridolin,17
Fridolin,woman,15
another woman,Fridolin,1
woman,another woman,1
another woman,woman,1
cavalier,Fridolin,6
Fridolin,cavalier,3
cavaliers,Fridolin,3
YellowGentlemen,Fridolin,2
gentlemen,Fridolin,1
Fridolin,gentlemen,5
RedCavalier,Fridolin,2
unkown,Fridolin,2
woman,gentlemen,3
Fridolin,servant,2
