Character,Listener,Interaction Count
ALICE,BILL,71
BILL,ALICE,80
BABY-SITTER,ALICE,2
ALICE,BABY-SITTER,1
ALICE,HELENA,3
HELENA,ALICE,4
DOORMAN,BILL,3
BILL,DOORMAN,3
BILL,BABY-SITTER,1
BABY-SITTER,BILL,1
DRIVER,BILL,3
BILL,DRIVER,2
ZIEGLER,BILL,43
ZIEGLER,ALICE,2
BILL,ZIEGLER,38
BILL,NICK,45
NICK,BILL,51
ALICE,SZABO,15
SZABO,ALICE,23
GAYLE,BILL,8
BILL,GAYLE,5
NUALA,BILL,7
BILL,NUALA,6
BILL, GAYLE,2
BILL, NUALA,1
BILL,BILL,6
HARRIS,BILL,6
BILL,HARRIS,4
ZIEGLER,HARRIS,1
HARRIS,ZIEGLER,1
V.O.,audience,4
BILL,HELENA,1
BILL,MARION,23
MARION,BILL,20
V.O.,BILL,12
CARL,MARION,2
CARL,BILL,5
DOMINO,BILL,34
BILL,DOMINO,31
DOMINO,DOMINO,3
GIBSON,BILL,33
BILL,GIBSON,32
GIBSON,KIMONO1,3
GIBSON, KIMONO2,3
KIMONO1,GIBSON,2
KIMONO2,GIBSON,1
YOUNG GIRL,GIBSON,1
GIBSON, YOUNG GIRL,1
BILL,CAB DRIVER,7
CAB DRIVER,BILL,4
GATEMAN 1,BILL,7
BILL,GATEMAN 1,8
SERVANTS,BILL,1
BILL,SERVANT 1,1
SERVANT 1,BILL,1
THE WOMAN,BILL,12
BILL,THE WOMAN,8
ANOTHER WOMAN,BILL,1
BILL,ANOTHER WOMAN,1
THE WOMAN,ANOTHER WOMAN,1
TALL MAN,THE WOMAN,1
ELEGANT MAN,BILL,14
BILL,ELEGANT MAN,9
ELEGANT MAN,THE WOMAN,2
THE WOMAN,ELEGANT MAN,2
BILL,CLEANING LADY,1
CLEANING LADY,MANAGERESS,1
MANAGERESS,CLEANING LADY,1
BILL,MANAGERESS,4
MANAGERESS,BILL,3
BILL,DESK CLERK,11
DESK CLERK,BILL,11
BILL,SERVANT,1
BILL,CARL,4
BILL,ARTY WOMANB,1
ARTY WOMAN,BILL,5
BILL,ARTY WOMAN,4
SALLY,BILL,7
BILL,SALLY,4
WAITRESS,BILL,2
BILL,WAITRESS,2
BILL,CLERK,6
CLERK,BILL,5
BILL,ORDERLY,2
ORDERLY,BILL,1
BILL,UNKNOWN,1
ZIEGLER,ZIEGLER,1
